배트맨 대 슈퍼맨: 저스티스의 시작	10.0	너무너무 좋아요~~~~~~~~~~	마이네임굿	2016.03.24	 1
배트맨 대 슈퍼맨: 저스티스의 시작	4.0	무슨 내용인지... 여기 저기서 짜집기한 잡탕 영화?	루치아노	2016.03.24	 2
배트맨 대 슈퍼맨: 저스티스의 시작	10.0	3D로 봤는데, 걍 2D로도 충분한듯. 끝나고 쿠키영상 안나오니 그냥 나가면됨! 설정상 배트맨이 후달릴수밖에없어서 근가 둘이싸우는액션보단 딴넘들하고 싸우는게 더 잼씀. 원더우먼 배우는 재수없지만, 비주얼이 원더우먼역에 정말 잘 어울림.	모르면 좀 물어봐_ 이것들앙	2016.03.24	 1
배트맨 대 슈퍼맨: 저스티스의 시작	9.0	오늘 조조 보고왔는데요 저는 영화 아주 재미나게 봤습니다 마눌님도 원더우먼 포즈 따라하면서 초반 살짝 지루한거 말고는 완전 재미진다고 ㅋㅋ Ps: 원더우먼 짱짱짱~!!!!!	wooki	2016.03.24	 2
배트맨 대 슈퍼맨: 저스티스의 시작	6.0	내용의 깊이나 철학이 마블영화에 비하여 더 있을지는 모르지만... 어쨋든 관객들은 오락영화를 관람하러 가는 것이니... 당분간 마블이 승리하겠구나... 싶습니다.	서커스탈출	2016.03.24	 1
배트맨 대 슈퍼맨: 저스티스의 시작	8.0	어벤져스가 소꼽장난 수준이지만, 아기자기한 재미가 있고, DC의 배트맨대 슈퍼맨은 스케일은 크지만, 지루한 감이 있고약간 진부하다..그래도 나름 재미있었고, 원더우먼의 출현은 시기적절 했고, 그리고 죽었던 슈퍼맨이 마지막 끝에 다시 부활여지 남겼나는데..원더우먼에게 생명부활 약이 있다는 사실 아는지	네모선장	2016.03.24	0
배트맨 대 슈퍼맨: 저스티스의 시작	7.0	슈퍼맨 죽음	미네르바	2016.03.24	 1
배트맨 대 슈퍼맨: 저스티스의 시작	7.0	다음편이 기대되네요.	스타일리스트	2016.03.24	 0
배트맨 대 슈퍼맨: 저스티스의 시작	7.0	맨오브스틸보다 덜 재미있네요 왜 싸워야하는지 이해는 하겠는데 화해하는 과정이 너무 약해 원더우먼 좋고 엔딩크레딧은 없네요 하긴 중간에 메타휴먼 다보여주니까	신맨	2016.03.24	 0
배트맨 대 슈퍼맨: 저스티스의 시작	4.0	맨끼리 쌈보다는 헐크형이 나옴...재미는 딱 맨오브스틸 수준 [1]	로그아웃	2016.03.24	 1
배트맨 대 슈퍼맨: 저스티스의 시작	10.0	조조로 아주 잘 봤슴. 난 MOS보다 괜츈했..ㅋㅋ 원더우면 대박 매력터짐 엔딩크레딧 보고 '갤 가돗' 폭풍검색..암튼 DC의 행보로 봤다면 이번 편은 꽤나 준수하다고 본다..어쨌건 다음이 기대되니깐..	Hellyeah	2016.03.24	 0
배트맨 대 슈퍼맨: 저스티스의 시작	8.0	다크나이트 느낌보다는 맨오브스틸 후속편 느낌이라고 보면됨 영화보기전에 맨오브스틸 보시면 더이해가 잘될듯합니다 [1]	다시너만	2016.03.24	 0
배트맨 대 슈퍼맨: 저스티스의 시작	9.0	글쎄..마블보다는 DC취향이라서?..마블팬보다는 나이가 많아서 좋았던건지..잘은 모르겠으나..스나이더 영화라는 틀안에서 보면, 충분히 성인취향의 DC 장점을 잘 살렸음..결론 내는 방식은 어차피 만화가 원작이니 이해해야하고..이후 시리즈를 기대하게 만드는 힘이 있었음..	VanHalen	2016.03.24	 1
배트맨 대 슈퍼맨: 저스티스의 시작	9.0	배트맨.슈퍼맨.원더우먼...이거면 오래 전, 우리의 추억을 느낄 수 있잖아.........	블루	2016.03.24	 0
배트맨 대 슈퍼맨: 저스티스의 시작	10.0	끝내준다 마블의 유치함과 비교가 되지않는 깊은 철학과 볼거리	김태훈	2016.03.24	 3
배트맨 대 슈퍼맨: 저스티스의 시작	9.0	슈퍼맨이 돌아왔다.. 마블군다 찌그러져 있어.. 졸 멋짐 !!!	마닐라혀니	2016.03.24	 3
배트맨 대 슈퍼맨: 저스티스의 시작	10.0	나도 첨엔 배트맨과 슈퍼맨이 한판 뜬다 라는 어이없음에...원작 배트맨 리턴즈 보고 좀 이해하기 시작했다. 미리 예습을 해서 근가...졸라 잼있다.	아하스	2016.03.24	 1
배트맨 대 슈퍼맨: 저스티스의 시작	10.0	아 스포하는 새끼들 부모없냐 스포질이냐 재미없으면 평가하더라도 스포는하지마라 진짜 비양심적이내 니들이 보면 끝이냐 안본사람들 생각좀 하고 말해라 [1]	나름냥	2016.03.24	 1
배트맨 대 슈퍼맨: 저스티스의 시작	4.0	배트맨은 '인간'이고, 슈퍼맨은 그 단어 그대로 아닌가? Super+Man / 2000년대 들어서면서 언제부턴가 슈퍼맨의 설정이 인간히어로들과 동급 또는 약간 우위정도의 설정으로 가는 것 같아 별로다. 흥행에 의해서 원작가가 세운 설정 자체를 무너뜨리는 건가...쯥...	rkdmfdl	2016.03.24	 0
배트맨 대 슈퍼맨: 저스티스의 시작	1.0	그닥 ㅠㅠ	알고보면착한	2016.03.24	 2
배트맨 대 슈퍼맨: 저스티스의 시작	10.0	큰 기대는 안하고 그냥 소재만으로도 볼만함	지나가는사람	2016.03.24	
배트맨 대 슈퍼맨: 저스티스의 시작	0.0	존나 어이없음,, 우주 최강 슈퍼맨이..배트맨한테 존나 맞고,,나중에 죽음,, 아무리 크립톤 돌덩어리에 힘을 못쓴다지만,황당해 스토리 개연성도 너무 비현실적이고,, 진짜 감독이 작정하고,,슈퍼맨 죽일려고 만든 영화다. 슈퍼맨 팬 입장에서는 굉장히 보기 불편한 영화 배트맨 인간따위가,,슈퍼맨을 막 가지고 놀음,,,,	nestwon	2016.03.24	 5
배트맨 대 슈퍼맨: 저스티스의 시작	9.0	개봉 첫 영화봄 난 넘 재미있었음 ㅜ ㅠ	신의 온전한 도구	2016.03.24	 1
배트맨 대 슈퍼맨: 저스티스의 시작	7.0	그냥 볼만함..너무 큰기대는 하지마시고 ㅎ...원더우먼 이 첫 빠따로 등장 하면서 슬슬 DC 히어로들 나올거고 마지막에 수퍼맨 다이했지마는 결국 살아날거고...렉스가 마지막에 그분이 오신다고 했으니 엄청난 놈이 올듯..근데 렉스루터가 악역 연기는 잘했지만 히스레저 하고 비교는 하지말자...배트맨은역시 베일뿐인가;	임몽룡	2016.03.24	 1
배트맨 대 슈퍼맨: 저스티스의 시작	7.0	완벽한 캐스팅, 불필요한 악몽, 적은 액션 분량. 아쉬운 프롤로그	난닝구슈마하 ~(-.,-)~	2016.03.24	 0
배트맨 대 슈퍼맨: 저스티스의 시작	7.0	맨오브스틸보다 못함. 비추천. 슈퍼맨 죽일려고 작정하고 만든영화. 초반부터 죽일려는 복선이 다분하게 설정됨. 슈퍼맨만 불쌍함. 너무착해서 자기를 희생하고 죽음. 마지막에 관에서 다시 살아나려는 기미가 있었지만. 내용도 슈퍼맨의 죽음에 초점이 맞춰짐. DC폭삭망할영화. 잭스나이더감독 이제 사표 쓰세요.제발	atnsrksdl	2016.03.24	 1
배트맨 대 슈퍼맨: 저스티스의 시작	10.0	재밌어요 약간씩 연계가 잘 안되는 부분이 있지만 이 정도 평점 받을 영화는 아닌거 같고요 재밌습니다 정말 후회하지 않으실거에요!	뜰립낫꼬리	2016.03.24	 1
배트맨 대 슈퍼맨: 저스티스의 시작	9.0	2시간 반의 긴영화시간 왜 싸우는지 초반에 명분설명 수퍼맨의100%승리공식을 뻔히 예상하고 겨우 배트맨이 이기는 결과를 예상했지만 영웅스리즈같이 2편을 기대하고 만들고 화끈한한판도 보여준다 허구의 영화에 허구를 더한 스케일큰 액션영화 이런영화는 영화관 앞자리 추천함	민족반역자는 영원한지옥	2016.03.24	 0
배트맨 대 슈퍼맨: 저스티스의 시작	5.0	내가 원하던 배트맨은 이런게 아니었다. 만약 이 스토리에 배트맨이 없고 슈퍼맨이랑 원더우먼만 나왔다면 정말 개망 영화입니다. 그나마 배트맨이 나와서 어느정도 무게중심을 잡아주지만 악당 캐릭터가 영 보잘것 없어서 보시면 실망하시는 분도 많을 듯 기대 안하고 그냥 히어로물 오락영화로 보면 볼만은 합니다. [1]	아쟁이	2016.03.24	 1
배트맨 대 슈퍼맨: 저스티스의 시작	9.0	이 영화를 보면 배트맨/수퍼맨 보다는 원더우먼의 매력에 빠질 수 밖에 없을 것이다. 렉스루터 배우로부터는 다크나이트 조커를 기억나게 하는 연기를 볼 수 있다.	이제는	2016.03.24	 1
